match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11674103,Bublik A.,bublik-alexander,M,7108,"Gatchina, Russia","Gatchina, Russia",1.96,76,right-handed,2014,1308797,4912703,163480,32,BUB,Kazakhstan,"Bublik, Alexander"
11674105,Međedović H.,mededovic-hamad,M,3889,,"Novi Pazar, Serbia",1.88,,right-handed,,279579,346548,321404,113,MED,Serbia,"Međedović, Hamad"
11674110,Međedović H.,mededovic-hamad,M,3889,,"Novi Pazar, Serbia",1.88,,right-handed,,279579,346548,321404,113,MED,Serbia,"Međedović, Hamad"
11674111,Mannarino A.,mannarino-adrian,M,5504,"Valletta, Malta","Soisy-sous-Montmorency, France",1.8,79,left-handed,2004,1395263,9479850,15894,22,MAN,France,"Mannarino, Adrian"
11674112,Rodionov J.,rodionov-jurij,M,2382,"Matzen, Austria","Nuremberg, Germany",1.91,86,left-handed,2017,276484,834004,200159,115,ROD,Austria,"Rodionov, Jurij"
11674113,Ofner S.,ofner-sebastian,M,3736,"Sankt Marein, Austria","Bruck an der Mur, Austria",1.91,81,right-handed,2014,670606,1465668,83397,43,OFN,Austria,"Ofner, Sebastian"
11674114,Korda S.,korda-sebastian,M,7469,"Bradenton, FL, USA","Bradenton, FL, USA",1.96,75,right-handed,,1288192,3552528,195840,24,KOR,USA,"Korda, Sebastian"
11675440,Medvedev D.,medvedev-daniil,M,63350,"Monte Carlo, Monaco","Moscow, Russia",1.98,83,right-handed,2014,7699733,29866718,163504,3,MED,Russia,"Medvedev, Daniil"
11675443,Jarry N.,jarry-nicolas,M,9517,"Santiago, Chile","Santiago, Chile",1.98,90,right-handed,2014,1431219,3478135,89632,19,JAR,Chile,"Jarry, Nicolas"
11675444,Musetti L.,musetti-lorenzo,M,22366,Carrara,"Carrara, Italy",1.85,75,right-handed,2019,1598590,3901074,261015,27,MUS,Italy,"Musetti, Lorenzo"
11675445,Sinner J.,sinner-jannik,M,64879,"Monte Carlo, Monaco","San Candido, Italy",1.88,68,right-handed,2018,6915316,12447135,206570,4,SIN,Italy,"Sinner, Jannik"
11675446,Dimitrov G.,dimitrov-grigor,M,22646,"Monte Carlo, Monaco","Haskovo, Bulgaria",1.91,81,right-handed,2008,2252614,20583691,23581,14,DIM,Bulgaria,"Dimitrov, Grigor"
11675447,Ruud C.,ruud-casper,M,29533,"Oslo, Norway","Oslo, Norway",1.83,77,right-handed,2015,2601211,13500643,119248,11,RUU,Norway,"Ruud, Casper"
11675448,Ruud C.,ruud-casper,M,29533,"Oslo, Norway","Oslo, Norway",1.83,77,right-handed,2015,2601211,13500643,119248,11,RUU,Norway,"Ruud, Casper"
11675449,Davidovich Fokina A.,davidovich-fokina-alejandro,M,8793,Fuengirola,"Malaga, Spain",1.83,80,right-handed,2019,1509026,4476749,157456,26,DAV,Spain,"Davidovich Fokina, Alejandro"
11675450,Sinner J.,sinner-jannik,M,64879,"Monte Carlo, Monaco","San Candido, Italy",1.88,68,right-handed,2018,6915316,12447135,206570,4,SIN,Italy,"Sinner, Jannik"
11686269,Saville D.,saville-daria,F,1505,"Melbourne, Australia","Moscow, Russia",1.66,61,right-handed,2010,259375,4344200,40994,204,SAV,Australia,"Saville, Daria"
11686272,Brady J.,brady-jennifer,F,1750,"Boca Raton, FL, USA","Harrisburg, PA, USA",1.78,68,right-handed,2015,322052,4192598,52273,230,BRA,USA,"Brady, Jennifer"
11686275,Ostapenko J.,ostapenko-jelena,F,8314,"Riga, Latvia","Riga, Latvia",1.77,68,right-handed,2012,1798842,11611607,64496,13,OST,Latvia,"Ostapenko, Jelena"
11686276,Samsonova L.,samsonova-liudmila,F,4833,,"Olenegorsk, Russia",1.82,,right-handed,,1873572,3646705,128584,16,SAM,Russia,"Samsonova, Liudmila"
