match_id,home_vote,away_vote
11699231,82,10
11699232,1,4
11699233,4,1
11699234,3,0
11699235,166,57
11699236,71,65
11699237,1,2
11699238,2,0
11699239,0,1
11699240,2,0
11699241,94,57
11699242,2,0
11699243,1,3
11699244,1,2
11699245,2,1
11699246,1,6
11699247,1,2
11699248,5,0
11699249,0,2
11699250,1,2
11699251,3,2
11699252,2,2
11699253,0,0
11699254,2,0
11699255,1,3
11699256,4,1
11699257,3,5
11699258,2,1
11699259,2,4
11699260,0,4
11699261,3,1
11699262,5,1
11699263,4,1
11699264,0,1
11699265,1,2
11699266,1,1
11699267,3,1
11699268,0,1
11699269,2,5
11699270,26,82
11699271,22,85
11699272,2,0
11699296,42,48
11699334,414,143
11699341,84,71
11699342,102,29
11699343,14,75
11699344,139,18
11699345,20,112
11699346,66,11
11699347,130,48
11699348,25,126
11699349,17,113
11699350,60,98
11699351,100,15
11699352,127,15
11699361,23,97
11699386,211,81
11699387,109,58
11699388,6,65
11699389,10,67
11699390,34,95
11699391,57,9
11699392,73,11
11699393,69,16
11699394,23,137
11699395,13,63
11699396,62,11
11699397,110,41
11699398,33,91
11699416,1,2
11699417,4,1
11699418,0,2
11699419,3,0
11699420,4,0
11699421,3,0
11699422,7,0
11699423,0,2
11699424,1,4
11699425,0,2
11699426,2,7
11699427,3,0
11699428,1,0
11699429,4,7
11699430,2,2
11699431,2,0
11699432,2,0
11699433,2,1
11699434,0,2
11699435,0,2
11699436,0,1
11699437,0,3
11699438,6,2
11699439,2,3
11699440,2,2
11699441,5,1
11699442,2,0
11699443,4,2
11699444,1,0
11699445,4,0
11699446,3,1
11699447,1,2
11699448,2,1
11699449,0,2
11699450,1,1
11699451,0,1
11699452,2,2
11699453,0,0
11699454,1,2
11699455,2,1
11699456,1,1
11699457,2,1
11699458,3,2
11699459,9,1
11699460,1,4
11699461,0,1
11699462,1,1
11699463,0,1
11699464,1,1
11699465,1,2
11699466,3,3
11699809,58,12
11699812,173,80
11699813,141,46
11699814,32,181
11699815,173,85
11699816,50,222
11699817,126,27
11699818,193,88
11699819,301,83
11699820,195,75
11699821,68,174
11699822,31,61
11700010,17,1
11700011,17,3
11700012,14,3
11700013,6,3
11700014,12,5
11700015,4,8
11700016,8,2
11700017,5,6
11700018,10,1
11700019,6,10
11700020,4,4
11700021,15,1
11700022,13,0
11700023,11,2
11700024,3,2
11700025,3,3
11700026,6,1
11700027,7,2
11700028,2,3
11700029,10,8
11700030,4,5
11700031,7,4
11700032,15,2
11700033,10,1
11700034,3,2
11700035,9,6
11700036,12,2
11700037,9,4
11700038,10,1
11700039,4,4
11700040,5,1
11700041,5,4
11700066,1,4
11701137,7,2
11701138,0,1
11701139,5,2
11701140,4,3
11701141,2,5
11701142,2,0
11701143,2,3
11701144,5,6
11701145,1,3
11701146,6,3
11701147,11,3
11701148,3,3
11701149,6,8
11701150,5,8
11701151,6,2
11701152,9,1
11701154,1,0
11701155,0,0
11701233,0,0
11701265,4,4
11701266,11,5
11701267,10,2
11701268,3,9
11701269,12,1
11701270,6,1
11701271,8,0
11701272,5,1
11701273,4,4
11701274,2,3
11701275,1,3
11701276,2,6
11701277,4,1
11701278,0,2
11701279,1,3
11701280,2,1
11701281,0,2
11701298,32,202
11701327,362,347
11701328,55,326
11701329,190,77
11701330,586,59
11701331,421,124
11701333,472,47
11701334,500,354
11701335,250,431
11701336,148,374
11701337,80,616
11701338,176,435
11701339,60,392
11701340,563,49
11701341,533,148
11701342,225,306
11701343,104,353
11701344,519,193
11701345,608,44
11701346,416,209
11701347,277,398
11701348,544,79
11701349,461,41
11701350,61,404
11701351,217,348
11701352,76,370
11701385,0,0
11701386,187,29
11701444,111,135
11701471,96,140
11701472,187,72
11701473,73,152
11701486,21,9
11701487,14,17
11701490,21,6
11701491,25,9
11701492,35,8
11701493,16,13
11701494,13,19
11701495,16,10
11701496,5,14
11701497,7,16
11701499,25,9
11701509,210,45
11701521,1,3
11701522,4,7
11701523,12,2
11701524,11,3
11701525,8,2
11701526,9,4
11701527,4,0
11701528,7,3
11701529,5,6
11701530,6,4
11701531,20,5
11701532,1,6
11701533,12,6
11701534,232,54
11701535,192,40
11701536,46,10
11701537,8,18
11701538,39,22
11701539,29,7
11701540,6,29
11701541,26,6
11701542,48,7
11701543,10,21
11701544,7,21
11701555,25,10
11701556,32,12
11701557,18,13
11701558,30,10
11701559,18,4
11701561,216,86
11701562,26,10
11701563,12,17
11701565,38,5
11701605,264,44
11701606,24,13
11701607,39,11
11701608,25,10
11701609,38,7
11701610,14,16
11701611,35,3
11701612,19,62
11701613,65,12
11701614,57,23
11701615,35,34
11701616,52,15
11701617,65,4
11701626,26,4
11701627,40,14
11701631,12,24
11701632,19,11
11701633,19,38
11701634,11,6
11701635,13,4
11701640,162,83
11701643,7,28
11701645,19,3
11701646,16,2
11701648,9,2
11701651,13,11
11701653,6,10
11701655,4,7
11701656,20,6
11701661,12,16
11701662,21,31
11701666,184,29
11701667,0,0
11701668,141,29
11701680,6,13
11701681,4,6
11701682,2,10
11701683,9,11
11701684,21,4
11701689,221,64
11701697,41,27
11701698,31,12
11701699,32,16
11701700,63,11
11701701,17,23
11701702,11,0
11701703,9,3
11701704,3,9
11701705,5,4
11701706,13,3
11701707,7,5
11701708,6,6
11701709,4,9
11701710,11,8
11701711,6,8
11701712,11,5
11701713,13,2
11701714,20,4
11701715,17,1
11701716,6,9
11701717,3,4
11701718,9,1
11701719,3,1
11701720,2,4
11701721,8,0
11701722,10,5
11701723,2,5
11701724,1,7
11701725,4,1
11701726,2,3
11701727,1,4
11701728,8,0
11701729,5,2
11701730,0,2
11701731,8,3
11701732,7,1
11701733,5,0
11701734,2,2
11701735,3,2
