match_id,period,statistic_category_name,statistic_name,home_stat,away_stat,compare_code,statistic_type,value_type,home_value,away_value,home_total,away_total
11674105,3RD,return,return_games_played,6,6,3,positive,event,6,6,,
11674105,3RD,return,break_points_converted,0,0,3,positive,event,0,0,,
11674105,3RD,miscellaneous,tiebreaks,1,0,1,positive,event,1,0,,
11674110,ALL,service,aces,4,7,2,positive,event,4,7,,
11674110,ALL,service,double_faults,3,2,1,negative,event,3,2,,
11674110,ALL,service,first_serve,39/50 (78%),51/73 (70%),1,positive,team,39,51,50.0,73.0
11674110,ALL,service,second_serve,8/11 (73%),20/22 (91%),2,positive,team,8,20,11.0,22.0
11674110,ALL,service,first_serve_points,28/39 (72%),36/51 (71%),1,positive,team,28,36,39.0,51.0
11674110,ALL,service,second_serve_points,5/11 (45%),12/22 (55%),2,positive,team,5,12,11.0,22.0
11674110,ALL,service,service_games_played,9,10,2,positive,event,9,10,,
11674110,ALL,service,break_points_saved,0/2 (0%),4/4 (100%),2,positive,team,0,4,2.0,4.0
11674110,ALL,points,total,57,65,2,positive,event,57,65,,
11674110,ALL,points,service_points_won,33,48,2,positive,event,33,48,,
11674110,ALL,points,receiver_points_won,24,17,1,positive,event,24,17,,
11674110,ALL,points,max_points_in_a_row,6,9,2,positive,event,6,9,,
11674110,ALL,games,total_won,7,12,2,positive,event,7,12,,
11674110,ALL,games,service_games_won,7,10,2,positive,event,7,10,,
11674110,ALL,games,max_games_in_a_row,1,3,2,positive,event,1,3,,
11674110,ALL,return,first_serve_return_points,15/51 (29%),11/39 (28%),1,positive,team,15,11,51.0,39.0
11674110,ALL,return,second_serve_return_points,10/22 (45%),6/11 (54%),2,positive,team,10,6,22.0,11.0
11674110,ALL,return,return_games_played,10,9,1,positive,event,10,9,,
11674110,ALL,return,break_points_converted,0,2,2,positive,event,0,2,,
11674110,ALL,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674110,1ST,service,aces,2,5,2,positive,event,2,5,,
11674110,1ST,service,double_faults,1,0,1,negative,event,1,0,,
11674110,1ST,service,first_serve,17/21 (81%),30/44 (68%),1,positive,team,17,30,21.0,44.0
11674110,1ST,service,second_serve,3/4 (75%),14/14 (100%),2,positive,team,3,14,4.0,14.0
11674110,1ST,service,first_serve_points,11/17 (65%),18/30 (60%),1,positive,team,11,18,17.0,30.0
11674110,1ST,service,second_serve_points,2/4 (50%),10/14 (71%),2,positive,team,2,10,4.0,14.0
11674110,1ST,service,service_games_played,4,5,2,positive,event,4,5,,
11674110,1ST,service,break_points_saved,0/1 (0%),4/4 (100%),2,positive,team,0,4,1.0,4.0
11674110,1ST,points,service_points_won,13,28,2,positive,event,13,28,,
11674110,1ST,points,receiver_points_won,16,8,1,positive,event,16,8,,
11674110,1ST,points,max_points_in_a_row,4,6,2,positive,event,4,6,,
11674110,1ST,games,max_games_in_a_row,1,3,2,positive,event,1,3,,
11674110,1ST,return,first_serve_return_points,12/30 (40%),6/17 (35%),1,positive,team,12,6,30.0,17.0
11674110,1ST,return,second_serve_return_points,4/14 (28%),2/4 (50%),2,positive,team,4,2,14.0,4.0
11674110,1ST,return,return_games_played,5,4,1,positive,event,5,4,,
11674110,1ST,return,break_points_converted,0,1,2,positive,event,0,1,,
11674110,1ST,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674110,2ND,service,aces,2,2,3,positive,event,2,2,,
11674110,2ND,service,double_faults,2,1,1,negative,event,2,1,,
11674110,2ND,service,first_serve,22/29 (76%),21/28 (75%),1,positive,team,22,21,29.0,28.0
11674110,2ND,service,second_serve,5/7 (71%),6/7 (86%),2,positive,team,5,6,7.0,7.0
11674110,2ND,service,first_serve_points,17/22 (77%),18/21 (86%),2,positive,team,17,18,22.0,21.0
11674110,2ND,service,second_serve_points,3/7 (43%),2/7 (29%),1,positive,team,3,2,7.0,7.0
11674110,2ND,service,service_games_played,5,5,3,positive,event,5,5,,
11674110,2ND,service,break_points_saved,0/1 (0%),0/0 (0%),3,positive,team,0,0,1.0,0.0
11674110,2ND,points,service_points_won,20,20,3,positive,event,20,20,,
11674110,2ND,points,receiver_points_won,8,9,2,positive,event,8,9,,
11674110,2ND,points,max_points_in_a_row,6,9,2,positive,event,6,9,,
11674110,2ND,games,max_games_in_a_row,1,3,2,positive,event,1,3,,
11674110,2ND,return,first_serve_return_points,3/21 (14%),5/22 (22%),2,positive,team,3,5,21.0,22.0
11674110,2ND,return,second_serve_return_points,5/7 (71%),4/7 (57%),1,positive,team,5,4,7.0,7.0
11674110,2ND,return,return_games_played,5,5,3,positive,event,5,5,,
11674110,2ND,return,break_points_converted,0,1,2,positive,event,0,1,,
