match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
11699136,,,,,,
11699137,,,,,,
11699138,,,,,,
11699139,,,,,,
11699140,,,,,,
11699141,,,,,,
11699142,,,,,,
11699143,,,,,,
11699144,,,,,,
11699145,,,,,,
11699146,,,,,,
11699147,,,,,,
11699148,,,,,,
11699149,,,,,,
11699150,,,,,,
11699151,,,,,,
11699153,2686,2969,,,,1696156505
11699154,3819,2213,762,,,1696180933
11699155,1448,1851,,,,1696179545
11699156,2732,3576,799,,,1696178422
11699157,2984,3584,,,,1696170269
11699158,2377,2789,,,,1696150420
11699159,2417,2819,,,,1696150235
11699160,2801,2320,,,,1696156793
11699161,4040,1709,,,,1696151987
11699162,1668,1383,,,,1696169787
11699163,3344,4575,,,,1696168939
11699164,1612,1201,,,,1696175888
11699165,1686,4245,,,,1696162049
11699166,2189,1481,,,,1696163353
11699167,1883,4033,847,,,1696166414
11699168,2147,3831,,,,1696156594
11699173,2875,3657,4528,,,1696172783
11699185,1511,2841,,,,1696173706
11699186,3978,2801,3613,,,1696169510
11699187,2643,2591,1827,,,1696182312
11699188,1684,3050,1751,,,1696156216
11699189,2164,2328,,,,1696173661
11699190,1844,1996,,,,1696169189
11699191,1039,1129,,,,1696159875
11699192,2130,2495,,,,1696153505
11699193,2208,2115,,,,1696164259
11699194,1675,1634,1668,,,1696154627
11699195,1182,1346,,,,1696158319
11699196,1307,1652,,,,1696169000
11699197,1828,3134,,,,1696175861
11699198,2206,2455,,,,1696164240
11699199,2031,2501,,,,1696159434
11699200,2137,4145,,,,1696177129
11699221,3043,2087,,,,1696160568
11699222,2494,1822,,,,1696160930
11699223,,,,,,
11699224,3139,2839,,,,1696171288
11699225,,,,,,
11699226,1453,1584,,,,1696172921
11699227,1311,2092,,,,1696164897
11699228,2622,2639,,,,1696166149
11699229,,,,,,
11699230,,,,,,
11699231,2151,2197,1682,,,1696155797
11699232,,,,,,
11699233,,,,,,
11699234,,,,,,
11699235,3438,4379,5018,,,1696177546
11699236,3745,1645,,,,1696155054
11699237,,,,,,
11699238,,,,,,
11699239,,,,,,
11699240,,,,,,
11699241,2396,2384,1801,,,1696160788
11699242,,,,,,
11699243,,,,,,
11699244,,,,,,
11699245,,,,,,
11699246,,,,,,
11699247,,,,,,
11699248,,,,,,
11699249,,,,,,
11699250,,,,,,
11699251,,,,,,
